name,latitude,longitude
Land-Übelbach,47.23,15.23
Neuhof,47.23,15.17
Hautzendorf,46.99,15.40
Oberpremstätten,46.98,15.40
Unterpremstätten,46.97,15.40
Breitenhilm,47.01,15.55
Premstätten,47.02,15.56
Vasoldsberg,47.01,15.56
Wagersbach,47.00,15.52
Wagersfeld,47.00,15.53
Fölling,47.13,15.52
Niederschöckl,47.14,15.50
Oberschöckl,47.15,15.48
Weinitzen,47.14,15.49
Werndorf,46.92,15.48
Forst,46.98,15.45
Gradenfeld,46.95,15.44
Kasten,46.94,15.45
Ponigl,46.91,15.46
Wundschuh,46.93,15.45
Bierbaum,46.96,15.42
Laa,46.96,15.43
Zettling,46.95,15.43
Dietersdorf,46.92,15.40
Fading,46.93,15.39
Lamberg,46.89,15.43
Pöls,46.89,15.41
Steindorf,46.91,15.44
Wuschan,46.91,15.38
Zwaring,46.91,15.41
Blaindorf,47.17,15.87
Hofing,47.19,15.85
Illensdorf,47.18,15.86
Geiseldorf,47.21,15.99
Oberbuch,47.24,15.99
Unterbuch,47.23,15.99
Unterdombach,47.24,15.96
Bergen,47.45,16.01
Burgfeld,47.43,15.98
Dechantskirchen,47.42,16.02
Hohenau,47.43,16.00
Kroisbach,47.40,16.02
Stögersbach,47.43,16.03
Dienersdorf,47.24,15.90
Ebersdorf,47.20,15.96
Nörning,47.20,15.90
Wagenbach,47.22,15.95
Ehrenschachen,47.41,16.05
Friedberg,47.44,16.06
Oberwaldbauern,47.39,16.06
Ortgraben,47.44,16.04
Schwaighof,47.45,16.04
Stögersbach,47.43,16.03
Erdwegen,47.36,15.97
Grafendorf,47.34,15.99
Kleinlungitz,47.37,15.98
Lechen,47.34,16.01
Obersafen,47.32,16.00
Reibersdorf,47.36,15.98
Seibersdorf,47.33,15.99
Untersafen,47.31,16.01
Penzendorf,47.30,15.97
Staudach,47.32,15.94
Wolfgrub,47.30,16.00
Großhart,47.17,15.95
Neusiedl,47.16,15.93
Eggendorf,47.29,16.01
Habersdorf,47.27,15.99
Hartberg,47.28,15.97
Ring,47.29,15.96
Safenau,47.26,15.98
Flattendorf,47.27,15.91
Löffelbach,47.28,15.93
Mitterdombach,47.26,15.93
Schildbach,47.27,15.96
Siebenbrunn,47.25,15.95
Wenireith,47.24,15.98
Hartl,47.17,15.91
Hofkirchen,47.23,15.88
Kaibing,47.20,15.84
Kaindorf,47.23,15.91
Kopfing,47.23,15.93
Eichberg,47.38,15.97
Kleinschlag,47.39,15.95
Lebing,47.40,15.96
Schnellerviertel,47.38,15.96
Lafnitz,47.37,16.01
Oberlungitz,47.32,16.02
Wagendorf,47.32,16.02
Oberlimbach,47.19,16.04
Unterlimbach,47.18,16.06
Karnerviertel,47.47,15.89
Schmiedviertel,47.47,15.87
Neudau,47.18,16.10
Baumgarten,47.47,16.03
Dirnegg,47.45,16.08
Haideggendorf,47.43,16.08
Koglreith,47.47,16.02
Pinggau,47.44,16.06
Schaueregg,47.49,16.04
Sinnersdorf,47.40,16.10
Sparberegg,47.43,16.12
